Game Started!
 Player 1 | Position:[3,4]
 Player 2 | Position:[9,10]
Tank 1: Good move - Action: Rotate 1/4 Left facing direction D | Position: [3,4]
Tank 2: Good move - Action: Move Forward facing direction R | Updated Position: [9,11]
Tank 1: Good move - Action: Rotate 1/8 Right facing direction DL | Position: [3,4]
Tank 2: Good move - Action: Rotate 1/8 Right facing direction DR | Position: [9,11]
Tank 1: Good move - Action: Move Forward facing direction DL | Updated Position: [4,3]
Tank 2: Good move - Action: Move Forward facing direction DR | Updated Position: [10,12]
Tank 1: Good move - Action: Rotate 1/8 Left facing direction D | Position: [4,3]
Tank 2: Good move - Action: Rotate 1/8 Right facing direction D | Position: [10,12]
Tank 1: Good move - Action: Rotate 1/8 Left facing direction DR | Position: [4,3]
Tank 2: Good move - Action: Rotate 1/8 Right facing direction DL | Position: [10,12]
Tank 1: Good move - Action: Move Forward facing direction DR | Updated Position: [5,4]
Tank 2: Good move - Action: Rotate 1/8 Right facing direction L | Position: [10,12]
Tank 1: Good move - Action: Move Forward facing direction DR | Updated Position: [6,5]
Tank 2: Good move - Action: Rotate 1/8 Right facing direction UL | Position: [10,12]
Tank 1: Good move - Action: Move Forward facing direction DR | Updated Position: [7,6]
Tank 2: Good move - Action: Move Forward facing direction UL | Updated Position: [9,11]
Tank 1: Good move - Action: Rotate 1/8 Left facing direction R | Position: [7,6]
Tank 2: Good move - Action: Rotate 1/8 Right facing direction U | Position: [9,11]
Tank 1: Good move - Action: Shoot facing direction R | Position: [7,6]
Tank 2: Good move - Action: Move Forward facing direction U | Updated Position: [8,11]
Shell of Tank 1 is Moving in direction: R | Updated Position: [7, 8]
Shell of Tank 1 is Moving in direction: R | Updated Position: [7, 9]
Tank 1: Good move - Action: Move Forward facing direction R | Updated Position: [7,7]
Tank 2: Good move - Action: Rotate 1/8 Right facing direction UR | Position: [8,11]
Shell of Tank 1 is Moving in direction: R | Updated Position: [7, 10]
Wall Weakened | Position: [7, 10]
Shell of Tank 1 is Moving in direction: R | Updated Position: [7, 11]
Tank 1: Good move - Action: Move Forward facing direction R | Updated Position: [7,8]
Tank 2: Good move - Action: Rotate 1/8 Right facing direction R | Position: [8,11]
Shell of Tank 1 is Moving in direction: R | Updated Position: [7, 12]
Wall Weakened | Position: [7, 12]
Shell of Tank 1 is Moving in direction: R | Updated Position: [7, 13]
Tank 1: Good move - Action: Rotate 1/8 Right facing direction DR | Position: [7,8]
Tank 2: Good move - Action: Rotate 1/8 Right facing direction DR | Position: [8,11]
Shell of Tank 1 is Moving in direction: R | Updated Position: [7, 0]
Wall Weakened | Position: [7, 0]
Shell of Tank 1 is Moving in direction: R | Updated Position: [7, 1]
Tank 1: Good move - Action: Move Forward facing direction DR | Updated Position: [8,9]
